Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6750,0.3782,1.3080,0.0000,0.0031,1.2478,0.0000,0.0000,0.0571,0.8655,0.0000,0.0304,0.3028,6.7398
1.6750,0.3782,1.3080,0.0000,0.0031,1.2478,0.0000,0.0000,0.0571,0.8655,0.0000,0.0304,0.3028,6.7398
1.6106,0.3845,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0307,0.3063,6.0011
198.4652,0.7043,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,3.4488,4.1336,7.9376,552.3045
9.1764,0.6987,6.5190,0.0000,0.0000,0.0000,0.0000,0.0000,6.5190,4.3136,0.0000,0.0000,0.0000,90.4168
4.4189,0.7234,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0635,0.6329,14.4007
1.0752,0.7151,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0160,0.1590,3.9408
1.6106,0.7200,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0307,0.3063,6.0011
16.4988,0.1726,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,2.7493,0.0000,0.1064,2.1208,19.7574
9.1576,0.1715,6.5658,0.0000,0.0000,0.0000,0.0000,0.0000,6.5658,4.2661,0.0793,0.0951,0.0000,91.1333
4.4189,0.1874,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0635,0.6329,14.4007
1.0752,0.2105,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0160,0.1590,3.9408
1.6106,0.2506,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0307,0.3063,6.0011
16.2408,0.0388,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,2.7811,3.3333,0.0000,29.7591
9.1764,0.1715,6.5190,0.0000,0.0000,0.0000,0.0000,0.0000,6.5190,4.3136,0.0000,0.0000,0.0000,90.4168
4.5996,0.1616,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0000,0.0000,9.6780
1.1203,0.1846,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,2.7526
0.9196,0.0000,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5236
14.6391,0.0000,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9713
14.6391,0.0000,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9713
